Review,sentiment
a great cooler in great price compact and great design body is made of good plastic and the cooling effect this cooler is too good even on a slowest fan speed ut gives best resultrecommended to allalso one thing i need to mentioned is the delivery man great guy helps me a lot to get this product ,positive
its an awesome product and i am not making any fake comments here i bought this just for trial to have a healthier ambience at home and i am happy that i made this choice it cools a room and keeps it cool all day and its best if you put it near a window or open door so that it pulls fresh air huge savings on electricity eco friendly and comfy,positive
air throw is very goodlow noise and best cooling on medium speedmotor of fan is partially covered with plastic to protect water fall on itoriginal crompton motor very durablewater level can be seen clearly from outside body of cooleryou can fill water very easily from front side of cooler a big box is available to open and close it after filling water55 litre tank is enough for 10 hours cooling honey comb pads very good quality plastic body is ,positive
its been 6 days that i am using this cooler we have 1515 room after buying this cooler what i love is it has strong solid body so dont worry that it get broken easily you can fill water from front and back and give very cool air my room feel like its december in april i have to use extra blanket in night while sleeping it has capacity of 75 litre water which last for 2 days but i love to run cooler on pump for 1 hour it cool the whole room then only air mode and it gives awesome cool,positive
very good quality product better than my expectations if you provide good ventilation it does nice cooling then i could feel the air 25 feet away couldnt try more than that but i think you could feel it a bit more far away as well water easily lasts for about 89 hours good in this price9200 range after 10 percent discount,positive
delivery was on time flipkart service was awesome on time but the cooler doesnt seem to be so costly as it doesnt cool really well even after filling it up with full water it can be ok during warm nights but it wont make you feel any ease in hot conditions the plastic build also looks very cheap and below standard i am ok with it but not very satisfied,positive
water pump is not throwing a lot of water thats why its throwing warm air not satisfied with this kind of pump quality i have paid a lot for this not worth the money there is no work of ice chamber i need a partial refund,negative
a quality product from crompton it looks exactly like in the website is easy to set up and use please refer the room size charts while buying from the product line this one is meant for a somewhat large room there are 3 speed controls a couple more on the lesser side would have been better the smell from the cooling pads reported in a couple of other reviews was there but mostly dissipated within the first 8 hours of use finally this cooler consumes a lot of water 3lhr so it w,positive
great job by fk faster delivery awesome product i got brand new air cooler at first i checked its sounds not bad as i read in reviewair delivery is much better one thing to say delivery boy most helpful so guys must go for it but i have doubt is this model same to ozone 55 because i ordered this got ozone 55 according to sailer both r same then why fk shows different model price,positive
a good cooler by crompton the height of the cooler is about 3ft 10 inch color is nice plastic body is average air blow is good at any stage 12 or 3 air swing is also 3 choice when you switch it on for the first time after filling the water you will feel the nice cold air you will feel cool if you use it according to the weather there is a ice tray on the top overall a good cooler i will give 45 for design 35 for plastic body 45 for fan speed 45 for fan swing,positive
very bad ever packageing by flipkart i have seen when i open its outer layer its been already open looks like used product air throw quality is not good as expected its water meter is very top of its water tank if you want to see its minimum level of water then u have to fill atlest 50 liter of water no any support of up and down its air wing and its not cover very much area overall just ok not very satisfied,negative
great product this come with very nice packing by seller not a single crack or scratch in it also its brand new mfg and truly original generally people avoid this type of stuff online but i try also have return policy for any damage so i ordered it and within 3 days they delivered this amazing room cooler now come in price range its little costly but crompton didnt compromise quality major features already you can see in description other than this fan is little noisy and its wit,positive
its been 10 days since im using this air cooleronce it is on we can feel cool breeze in 10minbut we feel humidity if we use it for more time which is common with air coolers easy to move and fill water cooler need to be drained often knob is down below near wheelsediting here after 3 months use i used hard water for 3months with frequent draining after 3months pump stopped pumping water and releasing hot air once it is oni opened and cleaned pads pump and water distribution pipes,positive
crompton offers this range of coolers ozone with multiple capacity of water tank though the fan motor and air flow capacity remains the same which should not have been the case i bought the 88 litre model satisfied with cooling but the castor wheels are not strong enough for the weight of 88 litre filled water tank suggestion is to go for 75 litre instead of 88 litre variant,negative
its vertical swing quality is bad when you set to upward then automatically it goes to down due to this air goes to down we cant set direction as we wantvertical swing is uselesswater filling opening box is too small when u fill with jug many water goes to outside cooler ice chamber is useless ice cube water goes to 88 liter chamber how some ice can cool 88 ltr ice chamber need to direct connect to honeycomb pad and slides that it cool instantlyit make some noise too during,negative
never purchase cooler from flipkartmy 10500 wastedpump not working honey comb drynot giving cool airthe up and down slider is also not working when you manually do it up it will go down itself after few minutes giving only air in downwardi am a regular flipkart customer and was trusting flipkart but after this cooler purchasing experience i hate flipkart from now and ill never do any order at flipkartive requested for return that was 7 days replacement policy buttechnician came and,negative
very happy with this cooler its giving fine cooling at less speed inside the house also got very less price as compared to market price got with very good packing thanks flipcart,positive
awesome product with great cooling effect no need to put ice it will feel like running ac with fan cooling effect is really good go for it without second opinion,positive
its a very good coolerquality id good water capacity is very good but it will be finished in fee hours nlyit can make a big room coolonly drawback is short power cord and its a bit noisy even in low speed over all its a very good product,positive
value for moneypros1cooling effect gives better cooling2air delivery strong and powerful fan3capacity 88 litrescons1noise fan noise and water dripping noise2material used looks like cheap plastic in some corners3power cable too small really need an extension to useonly for people who wants to sleep in silent place dont buy this,positive
good product and best performance crompton desert air cooler 75 and fabulous swing pump and three step speed controller thanks so much i love you crompton,positive
nice product by crompton value for money on flipkartquick delivery took just 2 daysprosexact dimensions as shown in product detailsbig water tank75lgood air throw sufficient for 200250 sqft roomwater pump swing can be run independently controls are on the same knobwater pump is fixed at the bottom so it doesnt bash around while movinginternal parts like fan water pipes are well fittedside trays lets extra water back in the water tankhoneycomb gives a better cool,positive
flipkart delivered crompton desert air cooler 88 litres well before the schedule date before buying i compared with bajaj desert coolers here crompton seems to be much better based on the fan speed and quality water tank capacity of 88 litres is much needed crompton gives honey comb cooling pads for better cooling compared to wood wool it cools the room efficiently which makes us much comfortable in summer of chennai city,positive
great product,positive
wow great job flipcart fast delivery product arrived 2 days before expected date product is good and value for the money thanks ,positive
using it for last 10 daysone of the best coolers i have come across got it at a price of rs 8099 had a lots of research about coolers before buying it and here are my suggestions1 proper cross ventilation is required for optimal cooling so install it near the window where natural air circulation occurshoneycomb cooling pads are good as it has larger pores for air suction2 calculate air delivery requirement for your room desert coolers are generally meant for large rooms and hal,positive
good experience nice cooler for 7500cooling is great even lowest speed is enough for 1010feet roomautomatic fills water on connectionlevel indicated is big fan height is also goodfan blades are of steelhoney comb pads over all good experience,positive
i am writing this review after 2 months of usage prosi am using this cooler in hyderabad around 11 x 14 sq feet room it perfectly really suits for this whether condition air flow is excellent it has an ice chamber easily movable using the 4 wheels providedlight weight vertical swing if i fill complete 75 liters of tank i get it for almost 16 hours i feel better performance when i open windows and use a tray of ice in the cooleryou can easily remove old water by pl,positive
in gurgaon at 45 degree it is working on speed 1 like ac very happy with it finishing is not the best but it really does not matter when it give such cooling,positive
this is a wonderful product at the mentioned price rangethe capacity of 75l makes it a wonderful to use product with one refill for upto 3 days6 hrs each dayit is easy to move and filling up of water with an inlet pipe can be done very fastthe inlet is in the front allowing external pipe to be fitted very easilythe cooler take 5 mins to reach full potential and then it cools the room so easily and effectivelytemp for a medium sized hall comes down from 40 to 28 celcius in 15 mins,positive
cooling is good it depends where you placing cooler dont place the cooler close to window the humidity will be high keep the distance of atlist 89 feet from window and open the window ive already tried the same previously it was close to my window and it felt like more humidity wet body so irritating but now the distance is 9 feet from window and the right side of the cooler is face to window and the cooling is awesome now im decreasing the fan speed at night,positive
ordered on 22nd feb 21got delivered on 25th feb 21fastest delivery by flipkart i thought its to early to give review about this probut after 3 months of usage here are my reviewssuper fabulous coolerno need for an airconditioner have been using this cooler throughout the summer getting good sleep at night with my whole bedroom getting cooled when turned ondidnt face any issues with this cooler till date why to purchase costly air conditioner and bearing more electricity charg,positive
i went on to buy this cooler reading the already posted reviews this device is awesome cools my room in 5 mins even though i never operate it on full swing the room gets really cold at night to the extent that i require something warm to cover myself up keep up the good work crompton,positive
its a very good cooler cooling capacity is very good the best thing is that i have moving the cooler with full capacity 88l from one place to another i have used the ice chamber only once then i dont used the ice chamber bcoz the cooling capacity is very good and u dont need the ice after used 10days i have post my review without any 2nd thinking go for it,positive
awesome productafter comparing with various brands like symphony usha orient i have chosen this i got this for 7600 works efficiently by placing it in a good ventilation area and run at low speed for better cooling can go for it without any second thought and you wont regret your decision,positive
best of bestits a king of desert cooler plastic could have been better but thats not at all issue you can close your eyes and hit buy button very less noise great air delivery best cooling with 4 way deflection you may need extra extension board for this moving such heavy tank is easy on wheels there is lock too just beware of children at home they can easily put handfingers inside,positive
crompton ozone 88 cooler was amazing we are fully satisfiedthanks to flipkartoverall experience is good value for money i recommend to everyone that you can buy this cooler without any doubt,positive
good air delivery this is its pro and con because of heavy air delivery you cannot use this as fan otherwise this is very good if you live in hot dessert area do not buy if you are from humid coastal area it is not effective by a powerful fan instead,positive
cooler is excellant giving air upto 15 feet in the room size 1215 feetgood design with no water leaks 3speeds even good cooling at lowest speed and used in summer with 40 deg c noise is morebut bearable honey comb mat is added advantageas per specs it consumes 190 wattsmovement is easy with castor wheels electric chord length is only one meteroverall best cooler in its range recommanded to othersi a rao,positive
have been using for almost a month now one thing you definitely need to know is keep the cooler where fresh air ventilation is there otherwise the room will just become humid the cooling for me has not been that great dont know exactly how it provides maximum cooling and not make the room more humid using it in pune climate it partially does the job for me if anyone has had good experience with the product can help me out on how the maximum cooling can be achieved ,positive
best product packing and delivery i love this product i am totally satisfied with this product honey comb pad is good for extra cooling at this price it is a good deal ,positive
though the product is very good but the flipkart service is not upto the markfirst they sent me a damaged product with case openno shrink wrapbroken plugmultiple damageseven though there is a replacement policy it took time and my patience to deliver good producti fully recommend to buy this product but not from flipkart,positive
excellent buy was a bit hesitant seeing the negative reviews even in the hottest day this cooler keeps the room cool with ltl ice added from the top tray have been using for few weeks and very satisfied with the purchase,positive
writing review after 1 week usage this is brilliant cooler at the price i got this for 7600 after bank discount looks brilliant with white and blue color combination easy to move and cools nicely i will recommend to buy this,positive
good product by crompton and flipkart delivery is good product delivered with original packing same as given specification i am satisfy with product cooling is good air delivery also nice thank you flipkart,positive
i am writing this review after using cooler for a month i would say it is silent enough it cool down your bed room within 1520 mins so you can put it on before going to room as of now i am running it on level on and most of the time i have to switch pump off in mid night as you start feeling cold very effective cooling and run well on inverter excellent build quality you may feel fishy smell for few days but it will go off once you change water,positive
best in the classextremely light and awesome looks and very easy to maneuver around thanks to the 4 wheels at each corner with wheel locking feature talking about its main function that is cooling so let me tell you it worth every penny and cools the room in around 10 min of medium size it got 5 iron blades which works fine and tank capacity is very large i would recommend go for the lower capacity which would cost 1000 rupees less,positive
excellent cooler i was actually looking for a plastic body beautifull looking air cooler which can replace iron body exhaust fan cooler in my 500 sqr ft hall though no cooler can really replace the exhaust fan cooler but after using it for a week i can say that this cooler is the best among all and have excellent air throw with high cooling with no noise level and nice looks i purchased it after a lot of research and i am happy with the performance only better option is crompton optimu,positive
writing this review after using this cooler for 4 months in nagpur where temperature goes till 48 degrees and is an extremely hot regionlight weight sturdy stylish does not make a lot of noise either this cooler will work absolutely fine until march but during the months of april and may when summer will be at its peak it will work only as a personal cooler and youll have to keep it hardly 1 meter away from yourself to feel the cool air,positive
this is a cooler so please do not expect ac like cooling this provides good amount of cold air the room may become humid in placesregions with higher humidity so please use cross ventilation this is a value for money product and it is pretty big looks very good in room the air throw is sufficient for rooms with 150250 sqft size the delivery was good and the delivery personnel went out of his way to help get the huge package to 2nd floor thanks a lot,positive
the cooler was home delivered it came in good condition the cooler operation is simple the wheels are sturdy and it is easy to move around the main problem is with the manual the manual does not give details on how to clean the filters and how to drain the water tank the manufacturer could have created a simple youtube video on how to do this and not left it to the amateurs,positive
its excellentwill feel some odour for 1 or 2 days due to honeycomb but then the smell will gopls dont forget to have some space behind cooler otherwise humidity will increase i felt the same but when i changed locationit if giving wonderful resultsrequires ac comforters after 2 hourswater tank capacity is good and it will last for more than whole night in continuous usewater level indicator is very clear wheels are good and locking system is also there overall worthy and good,positive
giving this review after 4 months usage this is really good cooler cooling 1211 bedroom within 2 hours but proper ventilation should be there lit it sound is there i think the sound is common for all coolers this is good recommended to buy,positive
wonderful product as expected reduces the room temperature nice air flow intial use will give a stink smell after first five hours everything seems to be normal ice chamber does its job for best results mix some ice while filling the tank cord length is small but manageable flipkart delivered in a week packing was perfect 5 for now will re review after few weeks,positive
loved it excellent air thruogh i searched almost 15 days for best cooler finally got good one with reasonable price thanks to flipkart and crompton ,positive
air throw is very disappointingi thought it was a good cooler but its not they mentioned that it is for 450sq feet but it cant even cool my little 150sq feet room in 40 degree temp also i have tried all the way for ventilation but it always creates humidity and thats the bad part i suggest to dont buy this you can even buy a local brand cooler from the show which far better than this,negative
product is good with good look and compact designairflow is also good while considering for medium hallbut the problem is if you try to adjust ventsblades they will automatically bend downwards due to airforce it would be better if they stand still however we want,positive
i have purchased this cooler from flipkart its an amazing products value for money you have to use blanket if you run this cooler at high speed even in hot hummid summer guys please go ahead and buy it this cooler can chilled a room size 400 to 500 sqft thank you flipkart i love this product,positive
after use of one month very nice product work well less sound better cooling,positive
its excellent product from crompton superb cooling without any sound light weight beautifully designed very good qualitythanks flipkart for amazing producti am satisfied with this purchase thanks a lot to seller and flipkart ,positive
it is old model and dont have outlet for draining dirty water we have to clean it manually and do lot of physical work usually the water becomes stinky once in a month we have to remove the screws and use motor to pump out the water the screws are not stainless steel so they get rusted easily and makes it difficult to remove the wheels get stuck within a month theres no manual how to remove and clean honeycomb the only positive point is its air throwing capacity and ability to cool ,negative
very good productreliable product from the brand not disappointed this tym after returning usha air king which was a wasteyou can go for this one for sure good air thrownice cooling ice chamber castor wheel evrythng working just great only one thing which i want to highlt is just the front louver the osclitor is good working perfectly but the front oscltor should hve been better overall great buy go for it,positive
value for money but bit noisy good enough for large rooms need good air cross section water capacity is hugegood air throw noisy enough to keep outside cant watch tv while cooler is in room,positive
i baught this cooler looking at the number of reviews and rating as i always do and as expected cooler built quality is good but the main function of cooling has a design defect the water supplied through the channel has some design defect because of which none of the honeycomb panels gets wet completely and hence cooling effect is very less people may not have noticed this if they are from relatively not that hot places like pune mumbai or bangalore etc i would not recommend this product,negative
very good product if you have a cross ventilation in your room so this product is so nice for you very less noise and give a instant cool air a little humidity fan speed is very good appropriate value for money,positive
it is a very good product you must buy it it has three side honeycomb pad and dis cooler gave a very nice air flow its exact height is 10 cm and you dont be hesitate to buy this product it has good swing and nice water tank of capacity 88 litres and i got a good delivery by flipkart and crompton is a good brand,positive
not a great product the finishing of the product is not look like it is branded one just looks like ordinary roadside product not expected this type of product from crompton i have shared my view after 2 days of usage the 3 star is for its price go for symphony this is not trust worthy,negative
good,positive
this product is very nice and good the motor was working good at very speed and very cool,positive
excellent air cooling the water will last you easily for two nights n the cooling gets real effective if u place it near a window n yes just make sure you change ur water every week so to keep it clean n free from any smell its size is similar to ur 16 l fridge but much slimer n yeah thats all for now but will update my review soon after quarter year,positive
cooling is excellent even in large hall delivery of the product is really fast i got the item in 2days first time i am experiencing this fast delivery and packing of the product not good time god there is no damage found in coolercons1 cooling the room is very fast2 air flow also good3 fan blades are made by metal because of this blades doesnt bend while cooler is running4 motor is also made by crompton5 ice adding chamber also really cool6 coaster wheels are really ,negative
if placed in a well ventilated area the cooling of this desert cooler is pretty decent the water tank of 88 liter is enough for a full day continuous use built quality is robust the delivery experience was very good as the product was delivered with proper company packing and was handeled with care,positive
cooler is good but air up done setting is not good but all is ok i am happy you can purchase this cooler very nice product,positive
to be very honest with you i was a bit sceptical before buying this product wheather it will be able to live up to my expectationsbut after using this product for the last 5 months it has removed all the doubts i had yes a small shout to you guys over here its not a ac so dont expect it will cool the entire room within half an hour or it will work like a window ac and alli can share some tips which will definitely help you to get decent cooling experience make sure the water f,positive
this is honey comb cooler with giant water storagei have one thing like very much is that air throwi am satisfied with this coolerpros1good air throw2chill room quickly if good ventilation3invertel competiblecros1some time its make very humidity in roomit depends on climate2 in high speed its make very noise but adjustable,positive
good product delivery boys good best coler thank you for filipcard,positive
received a replacement for previously delivered damaged product replacement process was hassle free kudos to that this is a good cooler for the price totally worthy of 4 starsprosvery good cooling effectgood breeze speed breeze can be felt even 15 feet awayconthe body is not very sturdy although it can not be called weak either,positive
not a good body delivery of this product is not safe it get break working is also not good ,negative
doesnt look that much fancy but rest when it comes to work it super and never water drop from its windows,positive
very good and fantastic purchase i love it crompton is a brand and its quality meet brand value just go for it,positive
build is strong dimensions is good fan throw is very good goes to 20ft very easilywheels are strong can easily move even when cooler is full very good product at this price range,positive
satisfied with this product super air flow amazing built quality height is good cooling is also good its not offering many features but i think its main function as a good cooler its work best for me i review this after 1 month of used,positive
cooler is nice but have some drawbacks as well i will focus on only draw backs because whatever feature it claims it has them upto mark 1 it is useful only for one person2 it will work only when proper cross ventilation is available other wise would create unbearable humidity in the atmosphere of your room or house3 front flabs are loos ened after use and they can not guide the air properly so everytime you will have to guide them in your direction it will irritate you especially i,positive
i would certainly recommend symphony cooler in this range because earlier i hav experience with symphony and now i had purchased this 1 month agosymphony is superior to crompton1 less noise2 better air delivery,positive
well i was confused between hindware and crompton but finally i went with this only as motor king is crompton only air flow is awesomelight weightcoolness is fantasticif you trust on brand you can blindly go with thiswin win situation thank you flipkart for awesome delevery experience as usual,positive
crompton 75l desert cooler is the best coolerits cooling effect is very good even in moderate temperaturecooling remains for longer time not only when it is onand it cools large area for effective cooling not like tower or personal coolervery happy with purchase highly recommended for better and effective cooling,positive
excellent cooler work well only when window are open for ventilation provide decent cooling with water when ventilation is provided,positive
air cooler is working well giving heat relief from summer heat provided cross ventilation is good less noise its better to connect water hose to air cooler directly and due to water evaporation the 70ltr water doesnt last for the whole nightit has inbuilt wheels sturdy to move across the room highly recommend this product,positive
excellent air cooler i am very happy and good sellers and good flipkart,positive
good product on fully hot summer if you are living in place like humidity area it not helps to cool you,positive
working well and cooling is also greati liked this product and ill also get a great deal as compared to market price,positive
delievered in just 24 hours after the order which is in good condition as it is well packed cooling was very good when compared to previous coolers worth the money paid for it good service too,positive
fantastic air throw and yet quiet fan great cooling and cool design,positive
i ama truly satisfied with the product it cools the room very well even if the temperature is more than 42 degree celcius i live in a place where the temperature goes more than 40 degree in the mid summer i stay on the top floor but since i am using this cooler i am having no problem due to excessive temperature which i used to face before you just have to place the cooler in the right place with the right and scientific procedure,positive
better plastic quality than symphony better price honey comb panelssleek suggest every symphony fan to give it a try as it is better in terms of product quality symphony quality has decreased a lot in few years,positive
good product given same model which one i choose delivered safely i love flipkart services that i owe till now thanks flipkart team for wonderful job you are doing,positive
in short it is better than snowcrest 85 which is one of the best air coolers out there crompton machines are less noisy and the air throw is wide and thats where snowcrest gets beaten but on the bright side the latter throws higher volumes of air i personally think that crompton is best for rooms whereas snowcrest from hindware is better suited for bigger halls,positive
the best in this price range with excellent air throw sufficient for a hall and adequate cooling adequate ventilation is needed to work properlyworks best when kept near a window and another window should be opened to push humidity outwater lasts for 1 to 2 daysthis cooler can make the difference in hot climate when it brings down the room temperature the new smell goes off in a week a good choice to combat summer heatps thanks flipkart for the brilliant delivery,positive
pros the best cooling out there with 75l liter capacity and plastic used is also really good cons plugg in cable length is not even half meter and huge noise which will not allow you to sleep so what is the point it is like giving you an ak47 without bullet you have a wonderful gun but you cannot use it for the purpose you got it for,positive
cooler recd in good condition from flipkart within delivery timequality of cooler is so wise as per expectationair circulation and flow is too good with honeycomb colling effectthanks to flipkart for providing valuable product,positive
good product works best when kept near a window and when outside temperature is low it cools like a mini ac overall nice product solves the purpose in places where temp raises to 35 to 38 degrees,positive
very nice cool breeze liked it very much,positive
just go for itone of the best model and best cooling efficiency compared to all other companies but place it before the window and enjoy the air conditioning loving iti bought it for 9878 which is an offer priceloved alot enjoying the chilling room,positive
feeling fantastic good air coolers size design is good compact easy to transport thanks to flipcart saving money and time,positive
product is delivered before time from fks gurugram warehouse to noida it was received in good condition however few scratches were visible when deliveredproduct is very good and working as expected cooling 200 sqft drawing room of my flat in hot summer end of april of noida city cool air circulation can be felt even at far ends of the room look of the cooler is also decent finishing is not that fine at corners and very easy to move within the room or outsidefull water tank goes e,positive
i bought this after comparing over 30 different types of coolers its cooling is good but nothing compared to desert coolers like kenstar cyclone 12 what i observed that the cooling pads at the back are not properly soaked in water compared to side cooling pads this maybe the reason why cooling is lesser still its better than most coolers out there in marketprosit looks classy low noisehuge 70l tankpowerful 180 degree airthrowconsno indicator light no single switch to turn o,positive
omni tech retail is great seller very good delivery fantastic product wish xtra good packing thank you flipkart thank you ekart and also thank you omni teck retail seller,positive
its compolsory needs ventilation otherwise too hot if u have ventilation part in your room then go for it n feel like ac cooling using ice cubes in ice chamberanyway thank u flipu,positive
i review this product after 2week usethis cooler is very good air throw is very good and nice coolingi use only water and cooling is niceif u add ice cube then you feel chilled air throw but u should proper ventilation in room open windows doorsi placed my cooler outside room in balcony windowmy room size is 180 square feet and having this cooler air throw covers my whole room noise is very low like table fan u can sleep peacefully,positive
it is worth every single penny i bought this cooler for the indoor room where air ventilation is not much but this cooler performs really well for that room the fan motor is very powerful and the water tank is also has a good capacity it cools the room very well where there is no ventilation if it gets the air ventilation it will perform much better please go for it but keep in mind the service for this cooler is very expensive more than acbecause the honey grass are real expensive,positive
pros 1 efficient blower fan2 wide distribution of breeze3 good appealtrendy and strong body made of abs4 full tank of water lasts a full day5 highly portable castor wheels6 silent operation at full speed compared with other brands7 cools larger area than advertisedcons 1 no timer2 no remote,positive
awesome cooler cooling was very fast great work in summer,positive
the main function that is cooling is amazing in this product capacity is great at 75 litres product delivery was really good and on time and also in great condition i will recommend it ober symphony coolers as it is more value for money and its cooling is incomparable,positive
bought 2 cooler 1 by 1 gap of 2 weeks cooling amazing no need of stand coz of standerd hight compact size have ice chamber and strong body,positive
this buy is true value for money white in colour beautiful to look at has wheels can be moved around easily tank capacity is awesome has fab cool and swing option also has a ice cabinet at the top of the cooler packing was good timely deluvary and we are really happy,positive
excellent quality it is just like as a c very very cool air i recommend to all to buy it instead of local brands it is zero defect look wise very good delivery within 72 hours thanks to flipkart and delhivery for transporting safe delivery,positive
plastic is of good quality no leakages as of now it blows air at high speed useful for long halls small rooms might have problem of noise keep it at some distance and see the effect modes work fine delivery was fantastic as it was delivered in mini truck carried by 2 guys,positive
amazing air coolerit is almost 45 degrees here in gujarat during summersit is highly effective even in this temperature alsooverall this huge machine creates almost negligible noiselove this large yet effective air cooler from crompton,positive
design is good but not worth itcooling is ok ok air distribution is also normalwill recommend to go for some local cooler as they deliver more chilled air than this one and are cheaper also,positive
a very nice product easy to maintain quite efficient in function i will give it a five star rating,positive
best delivery by flipkart and amazing cooler by cromptoni bought this ozone 55lt air cooler which has powerful air throw and quite good cooling capacity,positive
very good product on time delivery good offer what we got happy to use for the chennai sunny days,positive
a good cooler with a decent airthrowi resides in top floor in delhiit is giving perfect cooling till dateonly need cross ventilation for better circulation,positive
awesome cooler i got it in just 7999 which was a great deal just use it in a well vanitlated room and it works like ac,positive
wow super cooling delivery date is 27may but excellent and fast flipkart delivered on 24may,positive
very nice product this is the best product among all coolers available in the marketcool calm very useful for big as well as small rooms,positive
good looks very nice cooling good storage capacity good build quality strong wheels,positive
size is compact look wise is good noise is lessdelivery and packing is good tooi paid cash on delivery cooling is good enough for a roomi think not suitable for big hall,positive
genuine feedback cooler is not so cool but below average it can prevent only the hot air blown by nature during hot climate in summer u can get the air like rainy day nothing else,positive
superb cooler and working like 1tonac in my room satisfied with this product happily go for it,positive
best air cooler worth money it works like acand compatible with inverter also,positive
great product by crompton nice cooling nice looks nice wheels go for itonly concern is length of power cord but you can manage this with extension cordboard ,positive
am writing this review after using the product for a monththe built quality is good and the cooling efficiency is very nice when it is placed near to the windowthe only concern with it is no water outlet found at the bottom when you want to release the water or clean the cooler,positive
excellent i recommend it but you need fill drinking water 25ltrs for 10 hours approximately and using soft water drinking is best to retain the water pump life little bit noisy in fast mode useful for 20 x 11 sqft area,positive
cooler is great but its tough to serve the water into it is little difficult if the water resources are less with you but in terms of cooler its great enough for big hall 25x30ft,positive
first of all a big thanks to flipkart for the fast delivery i loved this product from crompton i recommend if anyone wants to purchase this product,positive
it is good productusing it in the hall and sitting on the sofayou feel the cool airits at a decent height,positive
crompton ozone 75 is one of the best desert air cooler in market it is amazing product with great featuresless noisy and good cooling is one of the most important feature of this cooler,positive
i have purchase in 7550 it is amazing cooler like ac,positive
very silent and cool air thank you flipkart and seller,positive
nice cooler cools very quick but i didnt get the manual book packaging was little damaged seller was dhamakadeal,negative
cooling is ok but it smells too bad,negative
nice product by crompton nice cooling and air delivery,positive
good product,positive
best in this price rangei only used first day nighti have cold,positive
nice product,positive
good product,positive
product was good,positive
its been a 5 days using this product so far excellent can be used for inside also,positive
this cooler is wonderful i would say best desert cooler but do not buy it from flipkart at all they will pack it in worst way possible and their delivery guys will keep it in tampo with lots of load on iti received it as broken productand i know how difficult it was to get replacement in time their customer care representative gets payed only to apologize supervisormanagers even case escalate managers will have only sorry to share with youbuy this cooler but not from flipkart,negative
i buy this product 55 dessert but total sent another product still now cant be returned5 times technician visit postponed and some times automatically return rejected by flipkart after i call the flipkart customer care but they agreed the problem and still product cant be retu,negative
item is good but delivery service of flipkart delhivery courier service is worst,negative
very good coolerone thing you should have is cross ventilation then it will like 1 ton ac,positive
value for money,positive
excellent product excellent delivery specially excellent behavior of delivery agent noise is very low fully satisfied 10 out of 5 i am from west bengal and there is not any single scratch on the product due to delivery reason excellent no leakage issue in honeycomb pad everything is fine bohot dino ke bad chain se sone ko mila yaar just fill up 75 liter tank with 4 to 5 large bucket of water and enjoy special warning dont switch on the pump regulator wit,positive
i did not like this product its fan doesnt work properly the engineer comes and gives false hopes to my parents and returns back anf you guys have cancelled my refund this is ridiculous this is a waste productjeeves and flipkart have duped us big time,negative
excellent meet requirements heavy duty less noise work like an acgood light designed body,positive
speed and cooling are awesome but noisy gives you ac feeling wish i could get it in low noise its a huge one,positive
good swing cooling i am very happy,positive
nice cooling wonderful product,positive
very nice product i give 5 star,positive
very nice cooler and cooling very fast and plastic body is durable,positive
after doing lot of research i bought this cooler last week air flow is very good cools room easily water lasts for nearly 1 day it smells early but it is bearable and lasts for 2 days only i want a cooler for indoor and it is perfect for it not so bulky as like other coolers you can move it easily even its tank is full so buy it without any hesitation,positive
cooling is good with low noise and fan speed is goodpackaging was properly donestill it had a few scratches at the top of cooler but nothing majorlookwise its nicefull water tank goes for 23 nights so refill frequency is manageablevalue for money product,positive
received product with out any damage service was really fast cooler is just awesome it just works like ac dont feel that its summer nowstasified with product go for it,positive
best cooler air delivery high other cooler air delivery v bad but this cooler is best,positive
good but after 4 months use the hinges which direct air are falling downand not good air throwmore sound,positive
prosbuild quality looks excellentfan speed and cooling phenomenalwater lasting entire day full tanknoise acceptableair throw wide and sharpwheels tough enoughvalue for money undoubtedly extremely recommendedconspackaging could have been betterdelivery period too longmore than 5 daysbehavior of delivery boy rude illiteraterobberwas demanding for extra money to deliver on time,negative
water pump was not working,negative
received defective product auto swing is not working properly better to purchase product from shopmarket where u can replace the product within a single day in my case they gave given me the 12days as a pickup time,negative
good,positive
best product in best price range ,positive
product wise its finebut this time delivery service was pathetic,negative
product received good but its air flow i have confusion very less coll my 810 room i am not feeling more cool,negative
good,positive
it is a small and powwrful cooler perfect for a mid sized room found it better than many existing brands,positive
very good product,positive
not delivered as promised delivery person asked us to pick up with our own expenses which was around 20 kms,negative
i m very happy with this productthanks flipkarteveryone can buy this cooler highly recommendedcooling is faster than other coolerone of the best cooler in marketthanks flipkart once again,positive
dont buythe smell which comes from cooler is unbearable sensitive persons might get breathing issues coming to performance it is a table fan which sounds like a generator you will regret after buying once bought you cant return,positive
very bad quality very poor plastic material very cheap product showing it fr 17k and then discounting it and selling fr 10k still costly as per product received just fooling people in the name of brand third class product very much disappointed from flipkart requested for return and refund on the same day refund request rejected now forced to replace the product never buy crompton and use flipkart for buying,negative
